task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task165,4532,4528,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task165.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task165.onnx,,unchanged,,,,,,,,,,,,,,,,
task166,24,24,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task166.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task166.onnx,,unchanged,,,,,,,,,,,,,,,,
task167,75,146,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task167.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task167.onnx,,unchanged,,,,,,,,,,,,,,,,
task173,,13383,,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task173.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task173.onnx,,missing_archive,,,,,,,,,,,,,,,,
task178,762,762,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task178.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task178.onnx,,unchanged,,,,,,,,,,,,,,,,
task180,210,210,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task180.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task180.onnx,,unchanged,,,,,,,,,,,,,,,,
task182,6095,6095,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task182.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task182.onnx,crop_conv:1,accepted_derived,task182,True,True,267,267,0,6024,41,6065,16.28971017862185,2057,afc8155aa54cdb907df289c288ebaf878f022c4f1c51db762535a3a7e27a3247,,30,30,True
task190,1656,2425,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task190.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task190.onnx,,unchanged,,,,,,,,,,,,,,,,
task193,910,170,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task193.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task193.onnx,,unchanged,,,,,,,,,,,,,,,,
task194,949,949,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task194.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task194.onnx,,unchanged,,,,,,,,,,,,,,,,
task200,623,623,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task200.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task200.onnx,,unchanged,,,,,,,,,,,,,,,,
task201,3046,3013,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task201.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task201.onnx,crop_conv:1,rejected,task201,True,True,266,266,0,2876,140,3016,16.988313270872155,4672,d10ad63deca205db7ebdff49c1eea33aa3eb96bcc6dfe9de4c6f70d255db1914,,30,-3,False
task203,216,355,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task203.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task203.onnx,,unchanged,,,,,,,,,,,,,,,,
task217,1470,1470,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task217.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task217.onnx,,unchanged,,,,,,,,,,,,,,,,
task219,8715,8715,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task219.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task219.onnx,,unchanged,,,,,,,,,,,,,,,,
task221,805,805,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task221.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task221.onnx,,unchanged,,,,,,,,,,,,,,,,
task224,1552,1876,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task224.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task224.onnx,,unchanged,,,,,,,,,,,,,,,,
task225,363,1031,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task225.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task225.onnx,,unchanged,,,,,,,,,,,,,,,,
task226,1534,1534,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task226.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task226.onnx,,unchanged,,,,,,,,,,,,,,,,
task229,180,200,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task229.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task229.onnx,,unchanged,,,,,,,,,,,,,,,,
task230,900,460,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task230.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task230.onnx,,unchanged,,,,,,,,,,,,,,,,
task232,1410,1410,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task232.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task232.onnx,,unchanged,,,,,,,,,,,,,,,,
task236,126,126,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task236.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task236.onnx,,unchanged,,,,,,,,,,,,,,,,
task237,725,1716,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task237.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task237.onnx,,unchanged,,,,,,,,,,,,,,,,
task243,10710,10716,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task243.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task243.onnx,,unchanged,,,,,,,,,,,,,,,,
task246,1274,2066,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task246.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task246.onnx,,unchanged,,,,,,,,,,,,,,,,
task251,2663,4515,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task251.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task251.onnx,,unchanged,,,,,,,,,,,,,,,,
task252,96,180,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task252.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task252.onnx,,unchanged,,,,,,,,,,,,,,,,
