task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task118,F:\kaggle\neurogolf-2026\experiments\task118_compact_selection_20260703\task118.onnx,True,False,3,3,0,29813,4252,34065,14.563974256792232,29051,dea99a44971523b817a962b2e8fc3cecbb61ba5cb5cc08f35712327a730bf8cf,,dea99a44971523b817a962b2e8fc3cecbb61ba5cb5cc08f35712327a730bf8cf
task118,F:\kaggle\neurogolf-2026\experiments\task118_compact_support_20260629\task118.onnx,True,False,3,3,0,30821,4256,35077,14.534699075984962,29194,762aa060b115d2ef830385a0d5d3aa0ecf009cbf5125c1b2b44102fa06f15f7f,,762aa060b115d2ef830385a0d5d3aa0ecf009cbf5125c1b2b44102fa06f15f7f
task118,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task118.onnx,True,False,3,3,0,45508,4866,50374,14.172769552064677,40440,4549d244c74f30fd2d4941104abffc2256212728b3222d7d4d7ae0b1bdd2d2e6,,4549d244c74f30fd2d4941104abffc2256212728b3222d7d4d7ae0b1bdd2d2e6
task133,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task133.onnx,True,False,3,3,0,32295,1297,33592,14.57795677763597,18602,b036e138fd6fa75447a193ccd851c04c89af593c8c4f28f125b53f7a50aea83c,,b036e138fd6fa75447a193ccd851c04c89af593c8c4f28f125b53f7a50aea83c
task174,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task174.onnx,True,False,3,3,0,10067,175,10242,15.765747807977505,6481,30fe7d34e4fc9d764dc207052f2a3ad548534dcd92c13907beb1deef47ea0ed7,,30fe7d34e4fc9d764dc207052f2a3ad548534dcd92c13907beb1deef47ea0ed7
task249,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task249.onnx,True,False,3,3,0,248,39,287,19.34051778424038,856,54a49df5271a5359ca3aac40d0bd0b0cceee556bbd3f044581e4d78ba014e019,,54a49df5271a5359ca3aac40d0bd0b0cceee556bbd3f044581e4d78ba014e019
task315,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task315.onnx,True,False,3,3,0,0,230,230,19.561920691076804,1293,c949139725d6492da4802002e4608ce88f9bf8290d32c211dbf8e024a911102e,,c949139725d6492da4802002e4608ce88f9bf8290d32c211dbf8e024a911102e
task321,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task321.onnx,True,False,3,3,0,0,300,300,19.2962175253438,1418,1ec138f2d3eb7c3bff39f95ed07c6c92c2c570be38055787e8feacfe2febf703,,1ec138f2d3eb7c3bff39f95ed07c6c92c2c570be38055787e8feacfe2febf703
task118,F:\kaggle\neurogolf-2026\experiments\v203_cse_sweep_20260701\task118\task118.onnx,True,False,3,3,0,30821,4252,35073,14.534813117325072,29153,b8924034c97deb1d9cd26a8bd7c87844d3de3887b1a903de1cd3e86bb6f8f281,,b8924034c97deb1d9cd26a8bd7c87844d3de3887b1a903de1cd3e86bb6f8f281
task133,F:\kaggle\neurogolf-2026\experiments\v209_low100_extended_optimizer_20260702\task133.onnx,True,False,3,3,0,32294,1278,33572,14.578552334797282,21967,0e92ac30a5bd44972bb110e80cc148384ec7ff131346cb947ff2cb97952c7179,,0e92ac30a5bd44972bb110e80cc148384ec7ff131346cb947ff2cb97952c7179
