task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task226,1534,17.664366,work/public-kernel-outputs/latest_frank_726672/submission.zip::task226.onnx,77e1c631c2b9911bc62588db803675cc349c7714f5e95fa8549b6f75dbd1447a,1979,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_9'
task229,200,19.701683,work/public-kernel-outputs/latest_frank_726672/submission.zip::task229.onnx,4e56449b9c745647452dac693c2c5e05ac04a738c3178e6b3f5af0e88001f80c,1011,True,200,19.701682633451963,0,-3.6654803636793076e-07,
task232,1410,17.748655,work/public-kernel-outputs/latest_frank_726672/submission.zip::task232.onnx,c9080306bbd1480dd44632366298265f141732323a7ec95175626cd70d7baa74,5840,True,1410,17.748655016627787,0,1.6627787147172057e-08,
task236,126,20.163718,work/public-kernel-outputs/latest_frank_726672/submission.zip::task236.onnx,b422d6b5c34a300040bd2268aef0d31544cd33ec7c4a233438e9c0f6b598d9d1,587,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'output'
task243,13654,15.478212,work/public-kernel-outputs/latest_frank_726672/submission.zip::task243.onnx,bad5aefd81990fbf76ab66bfd8342fac9f4b0d83bee298f5fa6f2cfbf2beaceb,161283,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_2580'
task246,2634,17.123741,work/public-kernel-outputs/latest_frank_726672/submission.zip::task246.onnx,5de5dc2a8657ca6128f85b2bd7b8194bb9c9188604f11928cedfe208aa68180d,2624,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'safe_name_23'
task251,4920,16.498936,work/public-kernel-outputs/latest_frank_726672/submission.zip::task251.onnx,4e7cddf42dec66cc9781000d227935970eba8e510ce30ca8dca312f7175c8504,1848,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_12'
task256,2251,17.28087,work/public-kernel-outputs/latest_frank_726672/submission.zip::task256.onnx,3347efdee8da5dc83cb7da5c8e643fb3640a3bc4489655d198d0db4d0b2e7efb,1527,True,2114,17.343662833569816,-137,0.0627928335698158,
task263,670,18.492722,work/public-kernel-outputs/latest_frank_726672/submission.zip::task263.onnx,d6ab17ba68580d5d6013ace673e487b630880281ff5fd0fe0117150763c5e0ac,4176,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(11) node with name 'safe_name_28'
task264,2329,17.246806,work/public-kernel-outputs/latest_frank_726672/submission.zip::task264.onnx,18f2b72ad00aadc4f909aaf0bfe9e5b9fcf568b8bd295f8c36e529b5b2f4a237,8422,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_30'
